"datum_vysledku";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni_primarni";"pocet_testu_u_pozitivnich";"pocet_opakovanych"
"2020-10-03";"CZ0203";"Slan˝";"M";"20-64";"2";"5";"3"
"2020-04-15";"CZ0712";"Litovel";"Z";"20-64";"";"6";""
"2020-07-18";"CZ0801";"Brunt·l";"Z";"65+";"";"1";""
"2020-09-08";"CZ0525";"Trutnov";"Z";"0-19";"5";"12";"7"
"2020-04-01";"CZ0514";"Semily";"M";"20-64";"1";"1";"0"
"2020-10-05";"CZ0202";"Beroun";"Z";"0-19";"1";"4";"3"
"2020-06-30";"CZ0411";"Mari·nskÈ L·znÏ";"Z";"65+";"";"1";""
"2020-10-10";"CZ0208";"Lys· nad Labem";"Z";"0-19";"1";"2";"1"
"2020-05-25";"CZ0712";"Olomouc";"M";"65+";"";"2";""
"2020-10-02";"CZ0201";"Vlaöim";"M";"20-64";"4";"13";"9"
"2020-09-23";"CZ0632";"Jihlava";"M";"0-19";"1";"2";"1"
"2020-10-04";"CZ0208";"Lys· nad Labem";"M";"20-64";"2";"4";"2"
"2020-05-10";"CZ0322";"Suöice";"M";"20-64";"";"2";""
"2020-09-23";"CZ0421";"N/A";"Z";"20-64";"1";"1";"0"
"2020-07-02";"CZ0712";"Olomouc";"M";"20-64";"";"10";""
"2020-06-10";"CZ0802";"T¯inec";"M";"20-64";"";"3";""
"2020-08-06";"CZ0422";"Chomutov";"M";"0-19";"";"2";""
"2020-09-02";"CZ0647";"Znojmo";"M";"0-19";"";"1";""
"2020-07-13";"CZ0712";"Olomouc";"Z";"65+";"";"2";""
"2020-10-01";"CZ0532";"Holice";"M";"20-64";"";"1";""
"2020-05-05";"CZ0512";"Jablonec nad Nisou";"M";"0-19";"";"4";""
"2020-04-12";"CZ0206";"Neratovice";"M";"65+";"";"1";""
"2020-04-23";"CZ0642";"Brno";"M";"0-19";"1";"2";"1"
"2020-06-19";"CZ0646";"Vyökov";"M";"20-64";"";"2";""
"2020-08-26";"CZ0412";"Karlovy Vary";"M";"20-64";"";"2";""
"2020-10-08";"CZ0202";"Beroun";"Z";"0-19";"";"2";""
